  es_dec_l0.01 step 82500/104950  val 0.007601  104 ms/step  eta 0.65 h
  es_dec_l0.01 step 83000/104950  val 0.007647  104 ms/step  eta 0.63 h
  es_dec_l0.01 step 83500/104950  val 0.007616  104 ms/step  eta 0.62 h
  es_dec_l0.01 step 84000/104950  val 0.007603  104 ms/step  eta 0.60 h
  es_dec_l0.01 step 84500/104950  val 0.007612  104 ms/step  eta 0.59 h
  es_dec_l0.01 step 85000/104950  val 0.007617  104 ms/step  eta 0.57 h
  es_dec_l0.01 step 85500/104950  val 0.007600  104 ms/step  eta 0.56 h
  es_dec_l0.01 step 86000/104950  val 0.007607  104 ms/step  eta 0.55 h
  es_dec_l0.01 step 86500/104950  val 0.007627  104 ms/step  eta 0.53 h
  es_dec_l0.01 step 87000/104950  val 0.007613  104 ms/step  eta 0.52 h
  es_dec_l0.01 step 87500/104950  val 0.007609  104 ms/step  eta 0.50 h
  es_dec_l0.01 step 88000/104950  val 0.007592  104 ms/step  eta 0.49 h
  es_dec_l0.01 step 88500/104950  val 0.007611  104 ms/step  eta 0.47 h
  es_dec_l0.01 step 89000/104950  val 0.007602  104 ms/step  eta 0.46 h
  es_dec_l0.01 step 89500/104950  val 0.007624  104 ms/step  eta 0.44 h
  es_dec_l0.01 step 90000/104950  val 0.007593  104 ms/step  eta 0.43 h
  es_dec_l0.01 step 90500/104950  val 0.007606  104 ms/step  eta 0.42 h
  es_dec_l0.01 step 91000/104950  val 0.007637  104 ms/step  eta 0.40 h
  es_dec_l0.01 step 91500/104950  val 0.007593  104 ms/step  eta 0.39 h
  es_dec_l0.01 step 92000/104950  val 0.007605  104 ms/step  eta 0.37 h
  es_dec_l0.01 step 92500/104950  val 0.007618  104 ms/step  eta 0.36 h
  es_dec_l0.01 step 93000/104950  val 0.007605  104 ms/step  eta 0.34 h
  es_dec_l0.01 step 93500/104950  val 0.007624  104 ms/step  eta 0.33 h
  es_dec_l0.01 step 94000/104950  val 0.007617  104 ms/step  eta 0.32 h
  es_dec_l0.01 step 94500/104950  val 0.007600  104 ms/step  eta 0.30 h
  es_dec_l0.01 step 95000/104950  val 0.007610  104 ms/step  eta 0.29 h
  es_dec_l0.01 step 95500/104950  val 0.007595  104 ms/step  eta 0.27 h
  es_dec_l0.01 step 96000/104950  val 0.007617  104 ms/step  eta 0.26 h
  es_dec_l0.01 step 96500/104950  val 0.007604  104 ms/step  eta 0.24 h
  es_dec_l0.01 step 97000/104950  val 0.007620  104 ms/step  eta 0.23 h
  es_dec_l0.01 step 97500/104950  val 0.007604  104 ms/step  eta 0.21 h
  es_dec_l0.01 step 98000/104950  val 0.007624  104 ms/step  eta 0.20 h
  es_dec_l0.01 step 98500/104950  val 0.007604  104 ms/step  eta 0.19 h
  es_dec_l0.01 step 99000/104950  val 0.007604  104 ms/step  eta 0.17 h
  es_dec_l0.01 step 99500/104950  val 0.007617  104 ms/step  eta 0.16 h
  es_dec_l0.01 step 100000/104950  val 0.007597  104 ms/step  eta 0.14 h
  es_dec_l0.01 step 100500/104950  val 0.007607  104 ms/step  eta 0.13 h
  es_dec_l0.01 step 101000/104950  val 0.007608  104 ms/step  eta 0.11 h
  es_dec_l0.01 step 101500/104950  val 0.007614  104 ms/step  eta 0.10 h
  es_dec_l0.01 step 102000/104950  val 0.007609  104 ms/step  eta 0.08 h
  es_dec_l0.01 step 102500/104950  val 0.007610  104 ms/step  eta 0.07 h
  es_dec_l0.01 step 103000/104950  val 0.007605  104 ms/step  eta 0.06 h
  es_dec_l0.01 step 103500/104950  val 0.007617  104 ms/step  eta 0.04 h
  es_dec_l0.01 step 104000/104950  val 0.007608  104 ms/step  eta 0.03 h
  es_dec_l0.01 step 104500/104950  val 0.007611  104 ms/step  eta 0.01 h
  es_dec_l0.01 step 104950/104950  val 0.007612  104 ms/step  eta 0.00 h
DONE es_dec_l0.01: 4198 log points, final val 0.007612
